INDEX,REPORT_YEAR,DIVISION,NEIGHBOURHOOD,CATEGORY,SUBTYPE,COUNT,COUNT_CLEARED,ObjectId
7438,2014,D22,Kingsway South (15),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,2,7505
7439,2020,D43,Scarborough Village (139),Other Federal Statute Violations,Other,1,1,7506
7440,2020,D33,Fenside-Parkwoods (150),Crimes Against the Person,Other,11,6,7507
7441,2018,D31,York University Heights (27),Crimes Against Property,Other,159,48,7508
7442,2023,D12,Brookhaven-Amesbury (30),Crimes Against Property,Auto Theft,77,5,7509
7443,2017,D52,Bay-Cloverhill (169),Crimes Against Property,Fraud,133,37,7510
7444,2016,D22,Etobicoke City Centre (159),Crimes Against the Person,Robbery-Other,18,12,7511
7445,2019,D42,Steeles (116),Crimes Against Property,Break & Enter-House,52,2,7512
7446,2023,D51,Rosedale-Moore Park (98),Crimes Against Property,Fraud,22,1,7513
7447,2018,D14,Annex (95),Crimes Against Property,Other,97,25,7514
7448,2016,D32,Englemount-Lawrence (32),Crimes Against Property,Break & Enter-Apartment,4,1,7515
7449,2017,D33,NSA,Crimes Against Property,Other,4,1,7516
7450,2023,D52,Wellington Place (164),Criminal Code Traffic,Other,26,24,7517
7476,2016,D32,Bathurst Manor (34),Crimes Against Property,Auto Theft,25,1,7518
7353,2015,D33,Bayview Woods-Steeles (49),Crimes Against Property,Fraud,11,2,7519
7291,2016,D33,Pleasant View (46),Crimes Against Property,Fraud,28,8,7520
7477,2016,D43,Eglinton East (138),Crimes Against the Person,Robbery-Other,21,8,7521
7354,2021,D23,Rexdale-Kipling (4),Crimes Against the Person,Sexual Violation,16,8,7522
7292,2019,D13,Forest Hill South (101),Crimes Against the Person,Robbery-Other,13,2,7523
7478,2018,D41,Ionview (125),Crimes Against the Person,Robbery-Other,7,2,7524
7355,2022,D33,Victoria Village (43),Crimes Against Property,Fraud,41,3,7525
7293,2018,D42,Agincourt South-Malvern West (128),Crimes Against Property,Break & Enter-Commercial,43,3,7526
7479,2015,D55,The Beaches (63),Crimes Against the Person,Robbery-Other,14,8,7527
7356,2020,D12,Keelesdale-Eglinton West (110),Crimes Against the Person,Other,10,5,7528
7294,2017,D33,Parkwoods-O'Connor Hills (149),Crimes Against Property,Break & Enter-House,22,4,7529
7480,2022,D55,Playter Estates-Danforth (67),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,8,5,7530
7357,2016,D42,NSA,Other Criminal Code Violations,Other,7,5,7531
7295,2015,D11,Runnymede-Bloor West Village (89),Crimes Against Property,Break & Enter-Commercial,15,6,7532
7481,2023,D14,Kensington-Chinatown (78),Controlled Drugs and Substances Act,Other,15,13,7533
7358,2015,D23,Willowridge-Martingrove-Richview (7),Crimes Against Property,Break & Enter-House,17,2,7534
